Model,Smoothing,Avg Log Prob,Std Log Prob,Min Log Prob,Max Log Prob,Zero Prob Count,Coverage %
Unigram,No Smoothing,-47.68169856623931,31.789108063721823,-323.2362413894029,-6.0376545911357065,0,100.0
Unigram,Add-One Smoothing,-47.92800646834194,31.812975976735196,-321.0497995150606,-6.423188831643804,0,100.0
Unigram,Add-K Smoothing (k=0.5),-47.76681314840302,31.768047325495637,-321.6930987987452,-6.24562984785039,0,100.0
Unigram,Add Token Type Smoothing,-47.927810822864394,31.81285389753267,-321.04865550588835,-6.423147974173374,0,100.0
Bigram,No Smoothing,-12.389705128678933,7.3501396117701185,-59.46226802789976,-3.1772478362556233,279,71.98795180722891
Bigram,Add-One Smoothing,-50.77304483076377,32.243839972015664,-301.80833382996303,-9.544094481645676,0,100.0
Bigram,Add-K Smoothing (k=0.5),-48.56521826668678,30.88527673568212,-286.6642788683632,-9.050167988245335,0,100.0
Bigram,Add Token Type Smoothing,-13.009657371501188,7.909070560337089,-59.479331868787774,-3.0835026198302673,0,100.0
Trigram,No Smoothing,-4.131639316204728,1.319345498875796,-12.84056097405252,-3.1772478362556233,290,70.88353413654619
Trigram,Add-One Smoothing,-52.41465304957554,32.88344157381467,-303.8113474621047,-9.584038807345088,0,100.0
Trigram,Add-K Smoothing (k=0.5),-50.377155952291645,31.554238639623613,-288.9025763624387,-9.08237868463824,0,100.0
Trigram,Add Token Type Smoothing,-4.083329909526806,1.1549749174606903,-12.763724963300414,-3.0835026198302673,0,100.0
Quadrigram,No Smoothing,-3.2953121952480973,0.27380246002216996,-5.210671591742574,-3.1772478362556233,292,70.68273092369478
Quadrigram,Add-One Smoothing,-52.69371115964325,32.97197256780541,-304.16337527102564,-9.583987274330266,0,100.0
Quadrigram,Add-K Smoothing (k=0.5),-50.71001681413279,31.646262401557532,-289.3459644983919,-9.082275710249636,0,100.0
Quadrigram,Add Token Type Smoothing,-3.365885108181883,0.2826838389042584,-5.129260110390942,-3.0835026198302673,0,100.0
